tags	string	versions	US10_off_or_first	known	camel_ids
ERROR+camelfmt	'<renderOpMatrix> ERROR CASE numMatrices = %d'	US10,US11,EU10,EU11,JP10	0x002c7f18	NEW-ids(numMatrices); known:renderOpMatrix	renderOpMatrix,numMatrices
ERROR	'ERROR : No buffer available'	US10,US11,EU10,EU11,JP10	0x002bf958	exact-in-src	
ERROR+overflow	'ERROR: asset index overflow '	US10,JP10	0x002c9110	exact-in-src	
ERROR	'ERROR<alloc> memory usage value corrupted '	US10,US11,EU10,EU11,JP10	0x002c7afe	NEW-ids(corrupted); known:memory	
ERROR	'ERROR<free> memory usage value corrupted '	US10,US11,EU10,EU11,JP10	0x002c79ce	NEW-ids(corrupted); known:memory	
ERROR+overflow	'TRACK ERROR: Global texanim overflow'	US10,US11,EU10,EU11,JP10	0x0030b740	exact-in-src	
Failed	'*C FAIL ON NOT ON GROUND'	US10	0x00331c45	ids-known(GROUND)	
Failed	'*KPFAIL ON NOT ON GROUND'	EU10	EU10:0x003333e5	NEW-ids(KPFAIL); known:GROUND	
Failed+file.c	'/D<camcontrol.c>  failed to load triggered camaction actionno %d'	US10	0x00316b12	ids-known(actionno,camaction,camcontrol,failed)	
Failed+file.c	'/d<camcontrol.c>  failed to load triggered camaction actionno %d'	JP10	JP10:0x00316c32	ids-known(actionno,camaction,camcontrol,failed)	
Failed+file.c	'3p<camcontrol.c>  failed to load triggered camaction actionno %d'	EU11	EU11:0x00318372	ids-known(actionno,camaction,camcontrol,failed)	
Failed+file.c	'<camcontrol.c>  failed to load triggered camaction actionno %d'	US11	US11:0x00317764	exact-in-src	
Failed+camel	'<mmAllocateFromFBMemoryStore> failed to find store with requested handle in MMSTORE_ARRAY'	US10,US11,EU10,EU11,JP10	0x002c76d8	ids-known(MMSTORE_ARRAY,failed,handle,mmAllocateFromFBMemoryStore)	mmAllocateFromFBMemoryStore
Failed+camelfmt	'<mmCreateMemoryStore> failed as size %d was greater than MM_MAX_MEM_STORE_SIZE %d'	US10,US11,EU10,EU11,JP10	0x002c7808	exact-in-src	mmCreateMemoryStore
Failed+camelfmt	'<mmCreateMemoryStore> failed as size was %d'	US10,US11,EU10,EU11,JP10	0x002c77d8	exact-in-src	mmCreateMemoryStore
Failed+camel	'<mmCreateMemoryStore> failed to allocate mmStore Object'	US10,US11,EU10,EU11,JP10	0x002c785c	exact-in-src	mmCreateMemoryStore
Failed+camel	'<mmCreateMemoryStore> failed to allocate mmStore->ptrStore'	US10,US11,EU10,EU11,JP10	0x002c78ac	exact-in-src	mmCreateMemoryStore,ptrStore
Failed+camel	'<mmCreateMemoryStore> failed to find slot in MMSTORE_ARRAY'	US10,US11,EU10,EU11,JP10	0x002c78e8	exact-in-src	mmCreateMemoryStore
Failed+camel	'<mmDestroyMemoryStore> failed to find store with requested handle in MMSTORE_ARRAY'	US10,US11,EU10,EU11,JP10	0x002c7784	exact-in-src	mmDestroyMemoryStore
Failed+camel	'<mmShowInfoFBMemoryStore> failed to find store with requested handle in MMSTORE_ARRAY'	US10,US11,EU10,EU11,JP10	0x002c75f0	NEW-ids(mmShowInfoFBMemoryStore); known:MMSTORE_ARRAY,failed,handle	mmShowInfoFBMemoryStore
Failed	'^^^^^^^^^^^^^^^^  malloc for movie failed'	US10,US11,EU10,EU11,JP10	0x00317338	exact-in-src	
Failed	'FAIL ON NOT ON GROUND'	US11,EU11,JP10	US11:0x003328a8	exact-in-src	
Failed	'Fail to prepare'	US10,US11,EU10,EU11,JP10	0x0031739c	exact-in-src	
Failed	'Failed to allocate memory->forcing texture free'	US10,US11,EU10,EU11,JP10	0x0030b188	exact-in-src	
Failed	'LOAD FAIL: Manual load'	US10,US11,EU10,EU11,JP10	0x0030b698	exact-in-src	
Failed	'LOAD FAIL: No block'	US10,US11,EU10,EU11,JP10	0x0030b6d8	exact-in-src	
Failed	'LOAD FAIL: Out of range'	US10,US11,EU10,EU11,JP10	0x0030b724	exact-in-src	
Failed	'LOAD FAIL: Outside map x=%f y=%f z=%f'	US10,US11,EU10,EU11,JP10	0x0030b6b0	exact-in-src	
Failed+camelfmt	'sndPushGroup failed on group %d'	US10,US11,EU10,EU11,JP10	0x002c21d0	exact-in-src	sndPushGroup
WARNING	' WARNING: Voxmap has no mem available '	US10,US11,EU10,EU11,JP10	0x002c32d4	ids-known(Voxmap,WARNING,available)	
WARNING+camel	'(sideCommandEnable warning: need to increase MAX_COMM_PRESENT'	US10	0x0031ab3b	NEW-ids(MAX_COMM_PRESENT,increase); known:sideCommandEnable,warning	sideCommandEnable
WARNING+camelfmt+file.c	'<objanim.c -- setBlendMove> WARNING tried to load anim -1 from cache modno %d'	US10,US11,EU10,EU11,JP10	0x002c7d50	exact-in-src	setBlendMove
WARNING+camel	'<objLoadAnimdata>  Warning ACRomTab is NULL'	US10,US11,EU10,EU11,JP10	0x0030bf28	exact-in-src	objLoadAnimdata
WARNING+camel	'<voxLoadVoxMapActual>  Warning uncompressedSize is 0'	US10,US11,EU10,EU11,JP10	0x002c329c	exact-in-src	voxLoadVoxMapActual,uncompressedSize
WARNING+camel	'<voxLoadVoxMapActual>  Warning voxRomTab is NULL'	US10,US11,EU10,EU11,JP10	0x002c3230	ids-known(Warning,voxLoadVoxMapActual,voxRomTab)	voxLoadVoxMapActual,voxRomTab
WARNING	'HsideCommandEnable warning: need to increase MAX_COMM_PRESENT'	JP10	JP10:0x0031ac5b	NEW-ids(HsideCommandEnable,MAX_COMM_PRESENT,increase); known:warning	
WARNING+camel	'sideCommandEnable warning: need to increase MAX_COMM_PRESENT'	US11,EU10,EU11	US11:0x0031b78c	NEW-ids(MAX_COMM_PRESENT,increase); known:sideCommandEnable,warning	sideCommandEnable
WARNING+camelfmt	"WARNING in mainSetBits: Bit %d can't be set to %d while a savegame is loading"	US10,EU10,EU11,JP10	0x002c74e0	ids-known(WARNING,loading,mainSetBits,savegame)	mainSetBits
WARNING	'warning in newcloud dll no spare memory for light available'	US10,US11,EU10,EU11,JP10	0x0030c6b0	ids-known(available,memory,newcloud,warning)	
WARNING	'warning in newclouds dll no spare memory for clouds available'	US10,US11,EU10,EU11,JP10	0x0030c6f0	ids-known(available,clouds,memory,newclouds)	
WARNING	'WARNING Water Spike [%d] as invalid xyzAnim ID'	US10,EU10,EU11	0x003231d8	exact-in-src	
WARNING+pct_s	"Warning: DVDOpen(): file '%s' was not found under %s."	US10,US11,EU10,EU11,JP10	0x0032a8f8	exact-in-src	
WARNING+pct_s	"Warning: DVDOpenDir(): file '%s' was not found under %s."	US10,US11,EU10,EU11,JP10	0x0032a9bc	exact-in-src	
WARNING+overflow	'Warning: Model animation buffer overflow!! size=%d'	US10,US11,EU10,EU11,JP10	0x002c7bc4	exact-in-src	
WARNING	"Warning: Unknown object type '%d/%d romdefno %d', using DummyObject (128)"	US10,US11,EU10,EU11,JP10	0x002c7d04	exact-in-src	
WARNING	'WARNING:DVDCancelStreamAsync returned FALSE'	US10,US11,EU10,EU11,JP10	0x002c2dc4	exact-in-src	
WARNING+camelfmt	"XWARNING in mainSetBits: Bit %d can't be set to %d while a savegame is loading"	US11	US11:0x002c809b	NEW-ids(XWARNING); known:loading,mainSetBits,savegame	mainSetBits
WARNING	'X|WARNING Water Spike [%d] as invalid xyzAnim ID'	JP10	JP10:0x003232f6	ids-known(WARNING,invalid,xyzAnim)	
camel+overflow	'[lPUSHPULL OBJECT: hitpoint overflow'	EU10	EU10:0x0031f54e	NEW-ids(lPUSHPULL); known:OBJECT,hitpoint,overflow	lPUSHPULL
camel	'audioInit: sndIsInstalled() returned FALSE!'	US10,US11,EU10,EU11,JP10	0x002c2100	ids-known(audioInit,returned,sndIsInstalled)	audioInit,sndIsInstalled
camel	'audioQuit passed'	US10,US11,EU10,EU11,JP10	0x002c7564	ids-known(audioQuit,passed)	audioQuit
camel	'biteAttack    '	US10,US11,EU10,EU11,JP10	0x00326562	exact-in-src	biteAttack
camel	'burstIntoGroun'	US10,US11,EU10,EU11,JP10	0x00326553	exact-in-src	burstIntoGroun
camel	'curvesMove: There must be a multiple of four control points for bezier or hermite curves'	US10,US11,EU10,EU11,JP10	0x002c3100	exact-in-src	curvesMove
camel	'curvesMove: There must be at least four control points'	US10,US11,EU10,EU11,JP10	0x002c30c8	exact-in-src	curvesMove
camel	'curvesSetupMoveNetworkCurve: There must be a multiple of four control points for bezier or hermite curves'	US10,US11,EU10,EU11,JP10	0x002c305c	exact-in-src	curvesSetupMoveNetworkCurve
camel	'curvesSetupMoveNetworkCurve: There must be at least four control points'	US10,US11,EU10,EU11,JP10	0x002c3010	exact-in-src	curvesSetupMoveNetworkCurve
camel	'endObjSequence: max number of obj frees'	US10,JP10	0x0030bed4	exact-in-src	endObjSequence
camel	'Error in isPointWithinPatchGroup'	US10,US11,EU10,EU11,JP10	0x0030e548	exact-in-src	isPointWithinPatchGroup
camel+file.c+overflow	'expgfx.c: addToTable usage overflow'	US10,US11,EU10,EU11,JP10	0x0030cc28	exact-in-src	addToTable
camel	'hitFightMain  '	US10,US11,EU10,EU11,JP10	0x0032658f	exact-in-src	hitFightMain
camel	'hXstarfox.thp'	US11	US11:0x00317f7a	NEW-ids(hXstarfox)	hXstarfox
camel	'mmStore->ptrStore'	US10,US11,EU10,EU11,JP10	0x002c7898	exact-in-src	ptrStore
camel	'mmUniqueIdent'	US10,US11,EU10,EU11,JP10	0x002c7b2c	NEW-ids(mmUniqueIdent)	mmUniqueIdent
camel	'moveTricky: out of water'	US10,US11,EU10,EU11,JP10	0x0031a488	ids-known(moveTricky)	moveTricky
camel	'musicTriggersLoadedCallback load error'	US10,US11,EU10,EU11,JP10	0x002c2094	ids-known(musicTriggersLoadedCallback)	musicTriggersLoadedCallback
camel	'objAddObjectType: Reached MAXTYPES!!'	US10,US11,EU10,EU11,JP10	0x002c7e20	exact-in-src	objAddObjectType
camel+overflow	"overflow in 'genVoxelCircle'"	US10,US11,EU10,EU11,JP10	0x002c3194	exact-in-src	genVoxelCircle
camel	'poolDataMLoadedCallback load error'	US10,US11,EU10,EU11,JP10	0x002c2024	exact-in-src	poolDataMLoadedCallback
camel	'poolDataSLoadedCallback load error'	US10,US11,EU10,EU11,JP10	0x002c1f84	exact-in-src	poolDataSLoadedCallback
camel	'popOutOfGround'	US10,US11,EU10,EU11,JP10	0x00326544	exact-in-src	popOutOfGround
camel	'projectDataMLoadedCallback load error'	US10,US11,EU10,EU11,JP10	0x002c1ffc	exact-in-src	projectDataMLoadedCallback
camel	'projectDataSLoadedCallback load error'	US10,US11,EU10,EU11,JP10	0x002c1f5c	exact-in-src	projectDataSLoadedCallback
camel	'sampleBufferMLoadedCallback load error'	US10,US11,EU10,EU11,JP10	0x002c1fa8	exact-in-src	sampleBufferMLoadedCallback
camel	'sampleBufferSLoadedCallback load error'	US10,US11,EU10,EU11,JP10	0x002c1f08	exact-in-src	sampleBufferSLoadedCallback
camel	'sampleDirectoryMLoadedCallback load error'	US10,US11,EU10,EU11,JP10	0x002c1fd0	exact-in-src	sampleDirectoryMLoadedCallback
camel	'sampleDirectorySLoadedCallback load error'	US10,US11,EU10,EU11,JP10	0x002c1f30	exact-in-src	sampleDirectorySLoadedCallback
camel	'sfxTriggersLoadedCallback load error'	US10,US11,EU10,EU11,JP10	0x002c206c	exact-in-src	sfxTriggersLoadedCallback
camel	'standAndSpit  '	US10,US11,EU10,EU11,JP10	0x00326580	exact-in-src	standAndSpit
camel	'standStill    '	US10,US11,EU10,EU11,JP10	0x00326571	exact-in-src	standStill
