# Every "official" mention in the DP repo (src/ + include/), with the decomp symbol it annotates.
# file:line | decomp symbol | raw comment
src/di_cpu.c:284 | diCpuTraceInit | // official name: diCpuTraceInit (probably)
src/di_cpu.c:710 | diCpuXYPrintf | // official name: cpuXYPrintf (probably)
src/objanim.c:53 | objAnimSet | // official name: objAnimSetMove
src/objanim.c:413 | objGetAnimChange | // official name: objGetAnimChange
src/objanim.c:819 | var_fv0 | // official name: setBlendMove (probably)
src/object.c:479 | objGetSequence | // official name: objGetSequence
src/object.c:525 | objSetupObjectActual | // official name: objSetupObjectActual
src/object.c:1374 | objFreeObjdef | // official name: objFreeObjdef
src/object.c:1471 | objGetControlNo | // official name: objGetControlNo
src/object.c:1875 | objAddEffectBox | // official name: objAddEffectBox
src/object.c:1886 | objFreeEffectBox | // official name: objFreeEffectBox
src/model.c:247 | temp_v0 | // official name: createModelInstance
src/model.c:497 | modFreeModel | // official name: modFreeModel
src/model.c:581 | temp_t0 | // official name: makeModelAnimation
src/model.c:734 | modLoadAnimActual | // official name: modLoadAnimActual
src/intersect.c:11 | unk0 | /** @file official filename: track/intersect.c */
src/intersect.c:813 | func_80055458 | // official name: trackGetIntersect2 ?
src/intersect.c:1566 | trackGetHeight | // official name: trackGetHeight
src/intersect.c:1890 | trackIntersectTick | // official name: trackIntersect ?
src/intersect.c:2016 | trackIntersectModLineBuild | // official name: intersectModLineBuild ?
src/intersect.c:2268 | func_8005A2BC | // official name: insertPoint
src/joypad.c:263 | joyInit | // Official name: joyInit
src/joypad.c:470 | joyResetMap | // Official name: joyResetMap
src/joypad.c:482 | joyCreateMap | * Official name: joyCreateMap
src/joypad.c:508 | joyGetController | * Official name: joyGetController
src/joypad.c:524 | joyGetButtons | // Official name: joyGetButtons
src/joypad.c:555 | joyGetPressed | // Official name: joyGetPressed
src/joypad.c:591 | joyGetReleased | // Official name: joyGetReleased
src/joypad.c:619 | joyGetStickX | // Official name: joyGetStickX
src/joypad.c:650 | joyGetStickY | // Official name: joyGetStickY
src/joypad.c:730 | joySetSecurity | // Official name: joySetSecurity
src/curves.c:118 | curvesMove | // official name: curvesMove
src/curves.c:173 | curvesSetupMoveNetworkCurve | // official name: curvesSetupMoveNetworkCurve
src/texture.c:765 | texInitTextures | // official name: texInitTextures
src/texture.c:784 | texSetMemColour | // official name: setTexMemColour
src/texture.c:798 | GLOBAL_ASM | // official name: texLoadTexture
src/texture.c:1130 | texFreeTexture | // official name: texFreeTexture
src/texture.c:1189 | GLOBAL_ASM | // official name: texDPTextureX ?
src/texture.c:1532 | texAnimateTexture | // official Name: texAnimateTexture
src/texture.c:1615 | texGetFrameImg | // official name: texFrame
src/texture.c:1647 | texDisableModes | // official name: texDisableModes
src/texture.c:1652 | texEnableModes | // official name: texEnableModes
src/lighting.c:469 | lightSetInside | // official name: newlightInside
src/pi.c:26 | piInit | // official name: piInit
src/pi.c:42 | piRomLoad | // official name: piRomLoad
src/pi.c:88 | piRomLoadSection | // official name: piRomLoadSection
src/pi.c:106 | piRomGetSectionPtr | // official name: piRomGetSectionPtr
src/pi.c:123 | piRomGetFileSize | // official name: piRomGetFileSize
