path	US10	US11	EU10	EU11	JP10
AMAP.BIN	206240	206240	206240	206240	206240
AMAP.TAB	5056	5056	5056	5056	5056
ANIM.BIN	1136736	1214880	1214880	1214880	1286016
ANIM.TAB	10400	10400	10400	10400	10400
ANIMCURV.bin	136256	111936	111936	111968	283584
ANIMCURV.tab	25280	25280	25280	25280	25280
BITTABLE.bin	15680	15680	15680	15680	15680
BUG_canon_fall	-	24640	-	24640	-
Boot/English.c.new	-	10127	10127	10127	-
Boot/French.c.new	-	10483	10483	10483	-
Boot/German.c.new	-	10528	10528	10528	-
Boot/Italian.c.new	-	10407	10407	10407	-
Boot/Spanish.c.new	-	10320	10320	10320	-
Bug4	-	-	-	24640	-
CACHEFONTSTAB.bin	0	0	0	0	0
CACHEFONTSTEX.bin	0	0	0	0	0
CAMACTIO.bin	2048	2048	2048	2048	2048
CAMACTIONS.bin	2048	2048	2048	2048	2048
CHAPBITS.bin	81920	81920	81920	81920	81920
DLLS.tab	32	32	32	32	32
ENVFXACT.bin	98304	98304	98304	98304	98304
ENVFXACTIONS.bin	98304	98304	98304	98304	98304
FONTS.bin	22432	22432	22432	22432	22432
GAMETEXT.bin	69376	69376	69376	69376	69376
GAMETEXT.tab	20672	20672	20672	20672	20672
HITS.bin	392544	392544	392544	392576	392544
HITS.tab	6400	6400	6400	6400	6400
KamColumn.romlist.zlb	64	64	64	64	64
LACTIONS.bin	40960	40960	40960	40960	40960
MAPINFO.bin	3744	3744	3744	3744	3744
MAPS.bin	111648	111648	111648	111648	111648
MAPS.tab	3296	3296	3296	3296	3296
MODANIM.BIN	11232	11232	11232	11232	11232
MODANIM.TAB	2528	2528	2528	2528	2528
MODELIND.bin	3776	3776	3776	3776	3776
MODELS.bin	692672	682112	682112	682112	678464
MODELS.tab	5056	5056	5056	5056	5056
MODLINES.bin	7424	7424	7424	7424	7424
MODLINES.tab	192	192	192	192	192
OBJECTS.bin	301696	301696	301696	301696	301696
OBJECTS.bin2	301952	301952	301952	301952	301952
OBJECTS.tab	5920	5920	5920	5920	5920
OBJEVENT.bin	9568	9568	9568	9568	9568
OBJHITS.bin	27584	27584	27584	27584	27584
OBJINDEX.bin	4384	4384	4384	4384	4384
OBJSEQ.bin	28832	28832	28832	28832	28832
OBJSEQ.tab	2976	2976	2976	2976	2976
OBJSEQ2C.tab	2976	2976	2976	2976	2976
PREANIM.BIN	946880	946880	946880	946880	946880
PREANIM.TAB	10400	10400	10400	10400	10400
SAVEGAME.bin	6144	6144	6144	6144	6144
SAVEGAME.tab	32	32	32	32	32
SCREENS.bin	307232	307232	307232	307232	307232
SCREENS.tab	32	32	32	32	32
SPRITES.bin	176	176	176	176	176
SPRITES.tab	64	64	64	64	64
SPRTABLE.bin	174	174	174	174	174
Sequences/1014_English.bin	-	1080	1080	1080	-
Sequences/1014_French.bin	-	1160	1160	1160	-
Sequences/1014_German.bin	-	852	852	852	-
Sequences/1014_Italian.bin	-	1176	1176	1176	-
Sequences/1014_Spanish.bin	-	1016	1016	1016	-
Sequences/10261_English.bin	-	892	892	892	-
Sequences/10261_French.bin	-	1040	1040	1040	-
Sequences/10261_German.bin	-	1552	1552	1552	-
Sequences/10261_Italian.bin	-	828	828	828	-
Sequences/10261_Spanish.bin	-	1348	1348	1348	-
Sequences/1068_English.bin	-	996	996	996	-
Sequences/1068_French.bin	-	932	932	932	-
Sequences/1068_German.bin	-	996	996	996	-
Sequences/1068_Italian.bin	-	772	772	772	-
Sequences/1068_Spanish.bin	-	932	932	932	-
Sequences/1075_English.bin	-	1096	1096	1096	-
Sequences/1075_French.bin	-	1160	1160	1160	-
Sequences/1075_German.bin	-	1080	1080	1080	-
Sequences/1075_Italian.bin	-	1240	1240	1240	-
Sequences/1075_Spanish.bin	-	1016	1016	1016	-
Sequences/1142_English.bin	-	1960	1960	1960	-
Sequences/1142_French.bin	-	2076	2076	2076	-
Sequences/1142_German.bin	-	2116	2116	2116	-
Sequences/1142_Italian.bin	-	1916	1916	1916	-
Sequences/1142_Spanish.bin	-	1904	1904	1904	-
Sequences/115_English.bin	-	1740	1740	1740	-
Sequences/115_French.bin	-	1768	1768	1768	-
Sequences/115_German.bin	-	3092	3092	3092	-
Sequences/115_Italian.bin	-	1812	1812	1812	-
Sequences/115_Spanish.bin	-	1596	1596	1596	-
Sequences/11_English.bin	-	3292	3292	3292	-
Sequences/11_French.bin	-	3412	3412	3412	-
Sequences/11_German.bin	-	3240	3240	3240	-
Sequences/11_Italian.bin	-	3460	3460	3460	-
Sequences/11_Spanish.bin	-	4212	4212	4212	-
Sequences/1201_English.bin	-	4304	4304	4304	-
Sequences/1201_French.bin	-	6228	6228	6228	-
Sequences/1201_German.bin	-	5100	5100	5100	-
Sequences/1201_Italian.bin	-	4016	4016	4016	-
Sequences/1201_Spanish.bin	-	4360	4360	4360	-
Sequences/12_English.bin	-	2368	2368	2368	-
Sequences/12_French.bin	-	2632	2632	2632	-
Sequences/12_German.bin	-	2848	2848	2848	-
Sequences/12_Italian.bin	-	2420	2420	2420	-
Sequences/12_Spanish.bin	-	2420	2420	2420	-
Sequences/146_English.bin	-	8132	8132	8132	-
Sequences/146_French.bin	-	8520	8520	8520	-
Sequences/146_German.bin	-	12532	12532	12532	-
Sequences/146_Italian.bin	-	7972	7972	7972	-
Sequences/146_Spanish.bin	-	12472	12472	12472	-
Sequences/14_English.bin	-	9160	9160	9160	-
Sequences/14_French.bin	-	13764	13764	13764	-
Sequences/14_German.bin	-	13556	13556	13556	-
Sequences/14_Italian.bin	-	13344	13344	13344	-
Sequences/14_Spanish.bin	-	13404	13404	13404	-
Sequences/166_English.bin	-	5252	5252	5252	-
Sequences/166_French.bin	-	12328	12328	12328	-
Sequences/166_German.bin	-	12108	12108	12108	-
Sequences/166_Italian.bin	-	7196	7196	7196	-
Sequences/166_Spanish.bin	-	7548	7548	7548	-
Sequences/167_English.bin	-	3512	3512	3512	-
Sequences/167_French.bin	-	5128	5128	5128	-
Sequences/167_German.bin	-	5804	5804	5804	-
Sequences/167_Italian.bin	-	3492	3492	3492	-
Sequences/167_Spanish.bin	-	3880	3880	3880	-
Sequences/16_English.bin	-	6804	6804	6804	-
Sequences/16_French.bin	-	7132	7132	7132	-
Sequences/16_German.bin	-	11724	11724	11724	-
Sequences/16_Italian.bin	-	5952	5952	5952	-
Sequences/16_Spanish.bin	-	7112	7112	7112	-
Sequences/170_English.bin	-	1752	1752	1752	-
Sequences/170_French.bin	-	1940	1940	1940	-
Sequences/170_German.bin	-	1696	1696	1696	-
Sequences/170_Italian.bin	-	1204	1204	1204	-
Sequences/170_Spanish.bin	-	1544	1544	1544	-
Sequences/171_English.bin	-	3832	3832	3832	-
Sequences/171_French.bin	-	6528	6528	6528	-
Sequences/171_German.bin	-	4580	4580	4580	-
Sequences/171_Italian.bin	-	4596	4596	4596	-
Sequences/171_Spanish.bin	-	6708	6708	6708	-
Sequences/173_English.bin	-	3032	3032	3032	-
Sequences/173_French.bin	-	4776	4776	4776	-
Sequences/173_German.bin	-	5684	5684	5684	-
Sequences/173_Italian.bin	-	3264	3264	3264	-
Sequences/173_Spanish.bin	-	4512	4512	4512	-
Sequences/174_English.bin	-	2396	2396	2396	-
Sequences/174_French.bin	-	2344	2344	2344	-
Sequences/174_German.bin	-	2556	2556	2556	-
Sequences/174_Italian.bin	-	2300	2300	2300	-
Sequences/174_Spanish.bin	-	2464	2464	2464	-
Sequences/175_English.bin	-	2648	2648	2648	-
Sequences/175_French.bin	-	3812	3812	3812	-
Sequences/175_German.bin	-	2924	2924	2924	-
Sequences/175_Italian.bin	-	2524	2524	2524	-
Sequences/175_Spanish.bin	-	2572	2572	2572	-
Sequences/177_English.bin	-	1860	1860	1860	-
Sequences/177_French.bin	-	2928	2928	2928	-
Sequences/177_German.bin	-	1868	1868	1868	-
Sequences/177_Italian.bin	-	1488	1488	1488	-
Sequences/177_Spanish.bin	-	2552	2552	2552	-
Sequences/178_English.bin	-	1560	1560	1560	-
Sequences/178_French.bin	-	1740	1740	1740	-
Sequences/178_German.bin	-	2188	2188	2188	-
Sequences/178_Italian.bin	-	1720	1720	1720	-
Sequences/178_Spanish.bin	-	1848	1848	1848	-
Sequences/179_English.bin	-	2560	2560	2560	-
Sequences/179_French.bin	-	3540	3540	3540	-
Sequences/179_German.bin	-	4292	4292	4292	-
Sequences/179_Italian.bin	-	2084	2084	2084	-
Sequences/179_Spanish.bin	-	3856	3856	3856	-
Sequences/17_English.bin	-	4300	4300	4300	-
Sequences/17_French.bin	-	4372	4372	4372	-
Sequences/17_German.bin	-	4332	4332	4332	-
Sequences/17_Italian.bin	-	4016	4016	4016	-
Sequences/17_Spanish.bin	-	4872	4872	4872	-
Sequences/184_English.bin	-	3732	3732	3732	-
Sequences/184_French.bin	-	3936	3936	3936	-
Sequences/184_German.bin	-	4352	4352	4352	-
Sequences/184_Italian.bin	-	3380	3380	3380	-
Sequences/184_Spanish.bin	-	3388	3388	3388	-
Sequences/185_English.bin	-	6052	6052	6052	-
Sequences/185_French.bin	-	7392	7392	7392	-
Sequences/185_German.bin	-	7608	7608	7608	-
Sequences/185_Italian.bin	-	6596	6596	6596	-
Sequences/185_Spanish.bin	-	7484	7484	7484	-
Sequences/19_English.bin	-	3060	3060	3060	-
Sequences/19_French.bin	-	3756	3756	3756	-
Sequences/19_German.bin	-	4220	4220	4220	-
Sequences/19_Italian.bin	-	3416	3416	3416	-
Sequences/19_Spanish.bin	-	3696	3696	3696	-
Sequences/20001_English.bin	-	2344	2344	2344	-
Sequences/20001_French.bin	-	2780	2780	2780	-
Sequences/20001_German.bin	-	2392	2392	2392	-
Sequences/20001_Italian.bin	-	2224	2224	2224	-
Sequences/20001_Spanish.bin	-	2352	2352	2352	-
Sequences/20002_English.bin	-	2136	2136	2136	-
Sequences/20002_French.bin	-	2940	2940	2940	-
Sequences/20002_German.bin	-	2176	2176	2176	-
Sequences/20002_Italian.bin	-	1632	1632	1632	-
Sequences/20002_Spanish.bin	-	2692	2692	2692	-
Sequences/20003_English.bin	-	1700	1700	1700	-
Sequences/20003_French.bin	-	1704	1704	1704	-
Sequences/20003_German.bin	-	1852	1852	1852	-
Sequences/20003_Italian.bin	-	1788	1788	1788	-
Sequences/20003_Spanish.bin	-	1784	1784	1784	-
Sequences/20004_English.bin	-	2420	2420	2420	-
Sequences/20004_French.bin	-	2936	2936	2936	-
Sequences/20004_German.bin	-	2576	2576	2576	-
Sequences/20004_Italian.bin	-	2100	2100	2100	-
Sequences/20004_Spanish.bin	-	3024	3024	3024	-
Sequences/20005_English.bin	-	812	812	812	-
Sequences/20005_French.bin	-	880	880	880	-
Sequences/20005_German.bin	-	972	972	972	-
Sequences/20005_Italian.bin	-	896	896	896	-
Sequences/20005_Spanish.bin	-	1056	1056	1056	-
Sequences/20006_English.bin	-	3636	3636	3636	-
Sequences/20006_French.bin	-	5200	5200	5200	-
Sequences/20006_German.bin	-	4460	4460	4460	-
Sequences/20006_Italian.bin	-	3484	3484	3484	-
Sequences/20006_Spanish.bin	-	3472	3472	3472	-
Sequences/20007_English.bin	-	2060	2060	2060	-
Sequences/20007_French.bin	-	2144	2144	2144	-
Sequences/20007_German.bin	-	2236	2236	2236	-
Sequences/20007_Italian.bin	-	2000	2000	2000	-
Sequences/20007_Spanish.bin	-	2000	2000	2000	-
Sequences/20008_English.bin	-	2032	2032	2032	-
Sequences/20008_French.bin	-	1904	1904	1904	-
Sequences/20008_German.bin	-	1884	1884	1884	-
Sequences/20008_Italian.bin	-	1824	1824	1824	-
Sequences/20008_Spanish.bin	-	2120	2120	2120	-
Sequences/20009_English.bin	-	1808	1808	1808	-
Sequences/20009_French.bin	-	1948	1948	1948	-
Sequences/20009_German.bin	-	3248	3248	3248	-
Sequences/20009_Italian.bin	-	1808	1808	1808	-
Sequences/20009_Spanish.bin	-	2044	2044	2044	-
Sequences/20010_English.bin	-	3436	3436	3436	-
Sequences/20010_French.bin	-	5288	5288	5288	-
Sequences/20010_German.bin	-	3920	3920	3920	-
Sequences/20010_Italian.bin	-	3464	3464	3464	-
Sequences/20010_Spanish.bin	-	3544	3544	3544	-
Sequences/20011_English.bin	-	5680	5680	5680	-
Sequences/20011_French.bin	-	5432	5432	5432	-
Sequences/20011_German.bin	-	6744	6744	6744	-
Sequences/20011_Italian.bin	-	4732	4732	4732	-
Sequences/20011_Spanish.bin	-	5372	5372	5372	-
Sequences/20012_English.bin	-	2168	2168	2168	-
Sequences/20012_French.bin	-	2260	2260	2260	-
Sequences/20012_German.bin	-	2616	2616	2616	-
Sequences/20012_Italian.bin	-	1852	1852	1852	-
Sequences/20012_Spanish.bin	-	2400	2400	2400	-
Sequences/20013_English.bin	-	3452	3452	3452	-
Sequences/20013_French.bin	-	5232	5232	5232	-
Sequences/20013_German.bin	-	5744	5744	5744	-
Sequences/20013_Italian.bin	-	3476	3476	3476	-
Sequences/20013_Spanish.bin	-	4748	4748	4748	-
Sequences/20014_English.bin	-	5820	5820	5820	-
Sequences/20014_French.bin	-	6344	6344	6344	-
Sequences/20014_German.bin	-	6504	6504	6504	-
Sequences/20014_Italian.bin	-	6164	6164	6164	-
Sequences/20014_Spanish.bin	-	5744	5744	5744	-
Sequences/20015_English.bin	-	2368	2368	2368	-
Sequences/20015_French.bin	-	2832	2832	2832	-
Sequences/20015_German.bin	-	3136	3136	3136	-
Sequences/20015_Italian.bin	-	2256	2256	2256	-
Sequences/20015_Spanish.bin	-	2352	2352	2352	-
Sequences/20016_English.bin	-	4252	4252	4252	-
Sequences/20016_French.bin	-	4596	4596	4596	-
Sequences/20016_German.bin	-	4296	4296	4296	-
Sequences/20016_Italian.bin	-	3256	3256	3256	-
Sequences/20016_Spanish.bin	-	4248	4248	4248	-
Sequences/20017_English.bin	-	3588	3588	3588	-
Sequences/20017_French.bin	-	4156	4156	4156	-
Sequences/20017_German.bin	-	3628	3628	3628	-
Sequences/20017_Italian.bin	-	3840	3840	3840	-
Sequences/20017_Spanish.bin	-	3940	3940	3940	-
Sequences/20018_English.bin	-	2016	2016	2016	-
Sequences/20018_French.bin	-	2232	2232	2232	-
Sequences/20018_German.bin	-	2036	2036	2036	-
Sequences/20018_Italian.bin	-	1796	1796	1796	-
Sequences/20018_Spanish.bin	-	2136	2136	2136	-
Sequences/20020_English.bin	-	3592	3592	3592	-
Sequences/20020_French.bin	-	4988	4988	4988	-
Sequences/20020_German.bin	-	5408	5408	5408	-
Sequences/20020_Italian.bin	-	4352	4352	4352	-
Sequences/20020_Spanish.bin	-	3744	3744	3744	-
Sequences/20021_English.bin	-	2892	2892	2892	-
Sequences/20021_French.bin	-	4020	4020	4020	-
Sequences/20021_German.bin	-	3244	3244	3244	-
Sequences/20021_Italian.bin	-	3864	3864	3864	-
Sequences/20021_Spanish.bin	-	2908	2908	2908	-
Sequences/20022_English.bin	-	3540	3540	3540	-
Sequences/20022_French.bin	-	3192	3192	3192	-
Sequences/20022_German.bin	-	3492	3492	3492	-
Sequences/20022_Italian.bin	-	3120	3120	3120	-
Sequences/20022_Spanish.bin	-	3580	3580	3580	-
Sequences/20023_English.bin	-	4916	4916	4916	-
Sequences/20023_French.bin	-	7468	7468	7468	-
Sequences/20023_German.bin	-	5208	5208	5208	-
Sequences/20023_Italian.bin	-	7204	7204	7204	-
Sequences/20023_Spanish.bin	-	7244	7244	7244	-
Sequences/20024_English.bin	-	2184	2184	2184	-
Sequences/20024_French.bin	-	3176	3176	3176	-
Sequences/20024_German.bin	-	2336	2336	2336	-
Sequences/20024_Italian.bin	-	2960	2960	2960	-
Sequences/20024_Spanish.bin	-	2424	2424	2424	-
Sequences/20029_English.bin	-	1640	1640	1640	-
Sequences/20029_French.bin	-	2516	2516	2516	-
Sequences/20029_German.bin	-	2164	2164	2164	-
Sequences/20029_Italian.bin	-	2456	2456	2456	-
Sequences/20029_Spanish.bin	-	1932	1932	1932	-
Sequences/20032_English.bin	-	2928	2928	2928	-
Sequences/20032_French.bin	-	3588	3588	3588	-
Sequences/20032_German.bin	-	3868	3868	3868	-
Sequences/20032_Italian.bin	-	2780	2780	2780	-
Sequences/20032_Spanish.bin	-	3916	3916	3916	-
Sequences/20033_English.bin	-	3000	3000	3000	-
Sequences/20033_French.bin	-	4476	4476	4476	-
Sequences/20033_German.bin	-	3464	3464	3464	-
Sequences/20033_Italian.bin	-	3044	3044	3044	-
Sequences/20033_Spanish.bin	-	3964	3964	3964	-
Sequences/20034_English.bin	-	3084	3084	3084	-
Sequences/20034_French.bin	-	3036	3036	3036	-
Sequences/20034_German.bin	-	3308	3308	3308	-
Sequences/20034_Italian.bin	-	2880	2880	2880	-
Sequences/20034_Spanish.bin	-	2680	2680	2680	-
Sequences/20035_English.bin	-	1320	1320	1320	-
Sequences/20035_French.bin	-	1240	1240	1240	-
Sequences/20035_German.bin	-	1236	1236	1236	-
Sequences/20035_Italian.bin	-	1328	1328	1328	-
Sequences/20035_Spanish.bin	-	1008	1008	1008	-
Sequences/20036_English.bin	-	2916	2916	2916	-
Sequences/20036_French.bin	-	2652	2652	2652	-
Sequences/20036_German.bin	-	3004	3004	3004	-
Sequences/20036_Italian.bin	-	3064	3064	3064	-
Sequences/20036_Spanish.bin	-	4732	4732	4732	-
Sequences/20037_English.bin	-	1152	1152	1152	-
Sequences/20037_French.bin	-	1404	1404	1404	-
Sequences/20038_English.bin	-	1968	1968	1968	-
Sequences/20038_French.bin	-	2108	2108	2108	-
Sequences/20100_English.bin	-	5932	5932	5932	-
Sequences/20100_French.bin	-	6080	6080	6080	-
Sequences/20100_German.bin	-	6384	6384	6384	-
Sequences/20100_Italian.bin	-	4768	4768	4768	-
Sequences/20100_Spanish.bin	-	5516	5516	5516	-
Sequences/20105_English.bin	-	2740	2740	2740	-
Sequences/20105_French.bin	-	4412	4412	4412	-
Sequences/20105_German.bin	-	3532	3532	3532	-
Sequences/20105_Italian.bin	-	3012	3012	3012	-
Sequences/20105_Spanish.bin	-	3124	3124	3124	-
Sequences/20107_English.bin	-	5392	5392	5392	-
Sequences/20107_French.bin	-	7196	7196	7196	-
Sequences/20107_German.bin	-	12148	12148	12148	-
Sequences/20107_Italian.bin	-	5056	5056	5056	-
Sequences/20107_Spanish.bin	-	7760	7760	7760	-
Sequences/20108_English.bin	-	3060	3060	3060	-
Sequences/20108_French.bin	-	3164	3164	3164	-
Sequences/20108_German.bin	-	3312	3312	3312	-
Sequences/20108_Italian.bin	-	3120	3120	3120	-
Sequences/20108_Spanish.bin	-	3108	3108	3108	-
Sequences/20139_English.bin	-	5624	5624	5624	-
Sequences/20139_French.bin	-	5424	5424	5424	-
Sequences/20139_German.bin	-	6180	6180	6180	-
Sequences/20139_Italian.bin	-	4208	4208	4208	-
Sequences/20139_Spanish.bin	-	5912	5912	5912	-
Sequences/20140_English.bin	-	1840	1840	1840	-
Sequences/20140_French.bin	-	1908	1908	1908	-
Sequences/20140_German.bin	-	2232	2232	2232	-
Sequences/20140_Italian.bin	-	1836	1836	1836	-
Sequences/20140_Spanish.bin	-	1844	1844	1844	-
Sequences/20150_English.bin	-	4840	4840	4840	-
Sequences/20150_French.bin	-	7172	7172	7172	-
Sequences/20150_German.bin	-	7636	7636	7636	-
Sequences/20150_Italian.bin	-	4612	4612	4612	-
Sequences/20150_Spanish.bin	-	6620	6620	6620	-
Sequences/20201_English.bin	-	1304	1304	1304	-
Sequences/20201_French.bin	-	1932	1932	1932	-
Sequences/20201_German.bin	-	1204	1204	1204	-
Sequences/20201_Italian.bin	-	1220	1220	1220	-
Sequences/20201_Spanish.bin	-	1396	1396	1396	-
Sequences/20202_English.bin	-	1832	1832	1832	-
Sequences/20202_French.bin	-	1792	1792	1792	-
Sequences/20202_German.bin	-	2668	2668	2668	-
Sequences/20202_Italian.bin	-	1768	1768	1768	-
Sequences/20202_Spanish.bin	-	1860	1860	1860	-
Sequences/20203_English.bin	-	4612	4612	4612	-
Sequences/20203_French.bin	-	6432	6432	6432	-
Sequences/20203_German.bin	-	7076	7076	7076	-
Sequences/20203_Italian.bin	-	4388	4388	4388	-
Sequences/20203_Spanish.bin	-	5760	5760	5760	-
Sequences/20210_English.bin	-	4828	4828	4828	-
Sequences/20210_French.bin	-	7088	7088	7088	-
Sequences/20210_German.bin	-	7572	7572	7572	-
Sequences/20210_Italian.bin	-	4788	4788	4788	-
Sequences/20210_Spanish.bin	-	4868	4868	4868	-
Sequences/20213_English.bin	-	7636	7636	7636	-
Sequences/20213_French.bin	-	8088	8088	8088	-
Sequences/20213_German.bin	-	12224	12224	12224	-
Sequences/20213_Italian.bin	-	7684	7684	7684	-
Sequences/20213_Spanish.bin	-	7896	7896	7896	-
Sequences/20234_English.bin	-	6320	6320	6320	-
Sequences/20234_French.bin	-	7196	7196	7196	-
Sequences/20234_German.bin	-	6940	6940	6940	-
Sequences/20234_Italian.bin	-	6408	6408	6408	-
Sequences/20234_Spanish.bin	-	7292	7292	7292	-
Sequences/20277_English.bin	-	1764	1764	1764	-
Sequences/20277_French.bin	-	2444	2444	2444	-
Sequences/20277_German.bin	-	1648	1648	1648	-
Sequences/20277_Italian.bin	-	1700	1700	1700	-
Sequences/20277_Spanish.bin	-	1740	1740	1740	-
Sequences/20280_English.bin	-	2076	2076	2076	-
Sequences/20280_French.bin	-	2080	2080	2080	-
Sequences/20280_German.bin	-	2088	2088	2088	-
Sequences/20280_Italian.bin	-	1912	1912	1912	-
Sequences/20280_Spanish.bin	-	2792	2792	2792	-
Sequences/20286_English.bin	-	6004	6004	6004	-
Sequences/20286_French.bin	-	8304	8304	8304	-
Sequences/20286_German.bin	-	12844	12844	12844	-
Sequences/20286_Italian.bin	-	8180	8180	8180	-
Sequences/20286_Spanish.bin	-	12648	12648	12648	-
Sequences/202_English.bin	-	4948	4948	4948	-
Sequences/202_French.bin	-	12148	12148	12148	-
Sequences/202_German.bin	-	5812	5812	5812	-
Sequences/202_Italian.bin	-	5832	5832	5832	-
Sequences/202_Spanish.bin	-	11908	11908	11908	-
Sequences/203_English.bin	-	3860	3860	3860	-
Sequences/203_French.bin	-	4384	4384	4384	-
Sequences/203_German.bin	-	4372	4372	4372	-
Sequences/203_Italian.bin	-	3500	3500	3500	-
Sequences/203_Spanish.bin	-	6144	6144	6144	-
Sequences/20506_English.bin	-	8184	8184	8184	-
Sequences/20506_French.bin	-	14792	14792	14792	-
Sequences/20506_German.bin	-	14780	14780	14780	-
Sequences/20506_Italian.bin	-	8136	8136	8136	-
Sequences/20506_Spanish.bin	-	14732	14732	14732	-
Sequences/20508_English.bin	-	7628	7628	7628	-
Sequences/20508_French.bin	-	12368	12368	12368	-
Sequences/20508_German.bin	-	12336	12336	12336	-
Sequences/20508_Italian.bin	-	8004	8004	8004	-
Sequences/20508_Spanish.bin	-	12116	12116	12116	-
Sequences/20600_English.bin	-	5956	5956	5956	-
Sequences/20600_French.bin	-	6040	6040	6040	-
Sequences/20600_German.bin	-	6384	6384	6384	-
Sequences/20600_Italian.bin	-	4928	4928	4928	-
Sequences/20600_Spanish.bin	-	5464	5464	5464	-
Sequences/20635_English.bin	-	3344	3344	3344	-
Sequences/20635_French.bin	-	6040	6040	6040	-
Sequences/20635_German.bin	-	4484	4484	4484	-
Sequences/20635_Italian.bin	-	4008	4008	4008	-
Sequences/20635_Spanish.bin	-	5920	5920	5920	-
Sequences/20661_English.bin	-	6292	6292	6292	-
Sequences/20661_French.bin	-	7676	7676	7676	-
Sequences/20661_German.bin	-	7884	7884	7884	-
Sequences/20661_Italian.bin	-	6900	6900	6900	-
Sequences/20661_Spanish.bin	-	7108	7108	7108	-
Sequences/20695_English.bin	-	1888	1888	1888	-
Sequences/20695_French.bin	-	3476	3476	3476	-
Sequences/20695_German.bin	-	2108	2108	2108	-
Sequences/20695_Italian.bin	-	1872	1872	1872	-
Sequences/20695_Spanish.bin	-	1784	1784	1784	-
Sequences/20696_English.bin	-	1164	1164	1164	-
Sequences/20696_French.bin	-	1308	1308	1308	-
Sequences/20696_German.bin	-	888	888	888	-
Sequences/20696_Italian.bin	-	1068	1068	1068	-
Sequences/20696_Spanish.bin	-	1236	1236	1236	-
Sequences/20700_English.bin	-	4652	4652	4652	-
Sequences/20700_French.bin	-	7556	7556	7556	-
Sequences/20700_German.bin	-	12208	12208	12208	-
Sequences/20700_Italian.bin	-	4924	4924	4924	-
Sequences/20700_Spanish.bin	-	6636	6636	6636	-
Sequences/20863_English.bin	-	10712	10712	10712	-
Sequences/20863_French.bin	-	14888	14888	14888	-
Sequences/20863_German.bin	-	15132	15132	15132	-
Sequences/20863_Italian.bin	-	8484	8484	8484	-
Sequences/20863_Spanish.bin	-	14852	14852	14852	-
Sequences/21151_English.bin	-	3564	3564	3564	-
Sequences/21151_French.bin	-	6600	6600	6600	-
Sequences/21151_German.bin	-	5112	5112	5112	-
Sequences/21151_Italian.bin	-	3776	3776	3776	-
Sequences/21151_Spanish.bin	-	5752	5752	5752	-
Sequences/21170_English.bin	-	2692	2692	2692	-
Sequences/21170_French.bin	-	3044	3044	3044	-
Sequences/21170_German.bin	-	3532	3532	3532	-
Sequences/21170_Italian.bin	-	2572	2572	2572	-
Sequences/21170_Spanish.bin	-	3016	3016	3016	-
Sequences/21181_English.bin	-	8336	8336	8336	-
Sequences/21181_French.bin	-	13388	13388	13388	-
Sequences/21181_German.bin	-	13272	13272	13272	-
Sequences/21181_Italian.bin	-	10948	10948	10948	-
Sequences/21181_Spanish.bin	-	12980	12980	12980	-
Sequences/21352_English.bin	-	1752	1752	1752	-
Sequences/21352_French.bin	-	1692	1692	1692	-
Sequences/21352_German.bin	-	1972	1972	1972	-
Sequences/21352_Italian.bin	-	1664	1664	1664	-
Sequences/21352_Spanish.bin	-	1216	1216	1216	-
Sequences/21_English.bin	-	5288	5288	5288	-
Sequences/21_French.bin	-	6080	6080	6080	-
Sequences/21_German.bin	-	6216	6216	6216	-
Sequences/21_Italian.bin	-	5140	5140	5140	-
Sequences/21_Spanish.bin	-	5612	5612	5612	-
Sequences/22_English.bin	-	3960	3960	3960	-
Sequences/22_French.bin	-	4052	4052	4052	-
Sequences/22_German.bin	-	4188	4188	4188	-
Sequences/22_Italian.bin	-	3832	3832	3832	-
Sequences/22_Spanish.bin	-	3560	3560	3560	-
Sequences/230_English.bin	-	7272	7272	7272	-
Sequences/230_French.bin	-	8100	8100	8100	-
Sequences/230_German.bin	-	12284	12284	12284	-
Sequences/230_Italian.bin	-	6408	6408	6408	-
