path	bytes_hex	uint32_be	as_unix_utc
AMAP.BIN.changed	3a533d7f	978533759	2001-01-03 14:55:59
AMAP.TAB.changed	3a533d7f	978533759	2001-01-03 14:55:59
AMBIENT.bin.changed	3a2f6320	976184096	2000-12-07 10:14:56
AMBIENT.tab.changed	3a2f6320	976184096	2000-12-07 10:14:56
ANIM.BIN.changed	3a533cab	978533547	2001-01-03 14:52:27
ANIM.TAB.changed	3a533cab	978533547	2001-01-03 14:52:27
ANIMCURVES.bin.changed	3a1a3a66	974797414	2000-11-21 09:03:34
ANIMCURVES.tab.changed	3a1a3a66	974797414	2000-11-21 09:03:34
AUDIO.bin.changed	3a2f6329	976184105	2000-12-07 10:15:05
AUDIO.tab.changed	3a2f6329	976184105	2000-12-07 10:15:05
BITTABLE.bin.changed	3a533f27	978534183	2001-01-03 15:03:03
BLOCKS.bin.changed	3a533edf	978534111	2001-01-03 15:01:51
BLOCKS.tab.changed	3a533edf	978534111	2001-01-03 15:01:51
CACHEFONTSTAB.bin.changed	3a27d887	975689863	2000-12-01 16:57:43
CACHEFONTSTEX.bin.changed	3a27d887	975689863	2000-12-01 16:57:43
CAMACTIONS.bin.changed	3a244c10	975457296	2000-11-29 00:21:36
DLLS.bin.changed	3a534d88	978537864	2001-01-03 16:04:24
DLLS.tab.changed	3a534d88	978537864	2001-01-03 16:04:24
DLLSIMPORTTAB.bin.changed	3a534d89	978537865	2001-01-03 16:04:25
ENVFXACTIONS.bin.changed	3a533f27	978534183	2001-01-03 15:03:03
FONTS.bin.changed	3a27d888	975689864	2000-12-01 16:57:44
GAMETEXT.bin.changed	3a533f32	978534194	2001-01-03 15:03:14
GAMETEXT.tab.changed	3a533f32	978534194	2001-01-03 15:03:14
HITS.bin.changed	3a533e6e	978533998	2001-01-03 14:59:58
HITS.tab.changed	3a533e6e	978533998	2001-01-03 14:59:58
LACTIONS.bin.changed	3a244c10	975457296	2000-11-29 00:21:36
MAPINFO.bin.changed	3a533e6e	978533998	2001-01-03 14:59:58
MAPS.bin.changed	3a533e6e	978533998	2001-01-03 14:59:58
MAPS.tab.changed	3a533e6e	978533998	2001-01-03 14:59:58
MAPSETUP.ind.changed	3a533e6e	978533998	2001-01-03 14:59:58
MAPSETUP.tab.changed	3a533e6e	978533998	2001-01-03 14:59:58
MODANIM.BIN.changed	3a533d7f	978533759	2001-01-03 14:55:59
MODANIM.TAB.changed	3a533d7f	978533759	2001-01-03 14:55:59
MODELIND.bin.changed	3a533d8d	978533773	2001-01-03 14:56:13
MODELS.bin.changed	3a533d8d	978533773	2001-01-03 14:56:13
MODELS.tab.changed	3a533d8d	978533773	2001-01-03 14:56:13
MODLINES.bin.changed	3a534d8e	978537870	2001-01-03 16:04:30
MODLINES.tab.changed	3a534d8e	978537870	2001-01-03 16:04:30
MPEG.bin.changed	3a533f26	978534182	2001-01-03 15:03:02
MPEG.tab.changed	3a533f26	978534182	2001-01-03 15:03:02
MUSIC.bin.changed	3a2f6327	976184103	2000-12-07 10:15:03
MUSIC.tab.changed	3a2f6327	976184103	2000-12-07 10:15:03
MUSICACTIONS.bin.changed	3a2f6c60	976186464	2000-12-07 10:54:24
OBJECTS.bin.changed	3a534dac	978537900	2001-01-03 16:05:00
OBJECTS.tab.changed	3a534dac	978537900	2001-01-03 16:05:00
OBJEVENTS.bin.changed	3a534d97	978537879	2001-01-03 16:04:39
OBJHITS.bin.changed	3a534d99	978537881	2001-01-03 16:04:41
OBJINDEX.bin.changed	3a534dac	978537900	2001-01-03 16:05:00
OBJSEQ.bin.changed	3a534da1	978537889	2001-01-03 16:04:49
OBJSEQ.tab.changed	3a534da1	978537889	2001-01-03 16:04:49
OBJSEQ2CURVE.tab.changed	3a1a3a66	974797414	2000-11-21 09:03:34
SAVEGAMES.bin.changed	3a534d8d	978537869	2001-01-03 16:04:29
SAVEGAMES.tab.changed	3a534d8d	978537869	2001-01-03 16:04:29
SCREENS.bin.changed	3a533bec	978533356	2001-01-03 14:49:16
SCREENS.tab.changed	3a533bec	978533356	2001-01-03 14:49:16
SFX.bin.changed	3a2f631e	976184094	2000-12-07 10:14:54
SFX.tab.changed	3a2f631e	976184094	2000-12-07 10:14:54
SKYANIM.bin.changed	39690825	963184677	2000-07-09 23:17:57
SKYANIM.tab.changed	39690825	963184677	2000-07-09 23:17:57
TABLES.bin.changed	3a1451ff	974410239	2000-11-16 21:30:39
TABLES.tab.changed	3a1451ff	974410239	2000-11-16 21:30:39
TEXTABLE.bin.changed	3a533c02	978533378	2001-01-03 14:49:38
TRKBLK.tab.changed	3a533edf	978534111	2001-01-03 15:01:51
VOXMAP.bin.changed	3a244c0f	975457295	2000-11-29 00:21:35
VOXMAP.tab.changed	3a244c0f	975457295	2000-11-29 00:21:35
VOXOBJ.bin.changed	3a534dac	978537900	2001-01-03 16:05:00
VOXOBJ.tab.changed	3a534dac	978537900	2001-01-03 16:05:00
WARPTAB.bin.changed	3a533e6e	978533998	2001-01-03 14:59:58
WEAPONDATA.bin.changed	3a534d99	978537881	2001-01-03 16:04:41
