off	new_ids	string
0x002eb8c4	renderOpDisplayList			+++++ renderOpDisplayList +++++ ARGS: %x %x
0x002efab4	renderOpShader			+++++ renderOpShader +++++ ARGS: %x %x
0x002eb974	renderOpDisplayList			----- renderOpDisplayList -----
0x002efb40	renderOpShader			----- renderOpShader -----
0x002eb834	renderOpTexture			----- renderOpTexture -----
0x0031ada0	Wormhole			And Then I Entered A Wormhole
0x0031aa94	Careful,Everywhere,Skeetas			Be Careful..Skeetas Everywhere !
0x0031acb8	Remember			Do You Remember How We Got Here?
0x0031abf8	Already,Forgiven			He Has Already Forgiven You
0x0031ab9c	Understands			He Understands Why You Left Him
0x0031aa50	Strange			I Can Feel Something Strange !
0x0031ab54	Couldn,Father			I Couldn't Face Being A Father
0x0031ae84	Going			I'm Not Going To Last Much Longer
0x0031ac9c	dying			I'm dying..I need food
0x0031abd4	Apologise			I've Yet To See Him To Apologise
0x0031ad70	Begging			King EarthWalker, Begging Us To Help Him.
0x0031aad4	Kills			Light Kills Them
0x0031acdc	Remember			Of Course I Remember...
0x0031ae38	Temples			One Of The Earthwalker Temples
0x0031aa74	Randorn			Randorn...  Are You There ??
0x0031ad20	Strange			Strange Room In The Lost City..
0x0031aec4	Similiar			There Must Be A Similiar Room Here
0x0031ad44	Uncovered			There We Uncovered A Message From The
0x0031ac44	Randorn,happening			What's happening to you Randorn?
0x0031ab28	Brother,Myself,blamed			When His Brother Died I blamed Myself
0x0031ac18	Reunited,Shall			When This Is Over You Shall Be Reunited!
0x0030b234	Fault,Windows			Windows Protection Fault
0x0031ae0c	Beneath			Yes, We Ended Up In A Chamber Beneath
0x0031ade8	Followed			You Followed Later With Sabre
0x002eb94c	displayListSize			displayList=%x displayListSize=%d
0x002eb728	renderGCModel		+++++ renderGCModel +++++ ARGS: %x %x
0x0030ff54	NoPass		NoPass Vine
0x0030ff64	Burns		The Player Burns it away!
0x0030ff28	Guesses		The Player Guesses that a Seed goes here!
0x00303ea0	corrupt		The message queue for the meter thread has become corrupt
0x00303edc	Would,someone		Would someone fix this please.
0x002f4278	mathRnd		action.life = %d + mathRnd(%d, %d);
0x002f41c4	mathRnd		action.ox = %fF * (float)mathRnd(%d, %d);
0x002f41f0	mathRnd		action.oy = %fF * (float)mathRnd(%d, %d);
0x002f421c	mathRnd		action.oz = %fF * (float)mathRnd(%d, %d);
0x002f4248	mathRnd		action.scale = %fF * (float)mathRnd(%d, %d);
0x002f42a0	texno		action.texno = %d;
0x002f413e	mathRnd		action.vx = %fF * (float)mathRnd(%d, %d);
0x002f416c	mathRnd		action.vy = %fF * (float)mathRnd(%d, %d);
0x002f4198	mathRnd		action.vz = %fF * (float)mathRnd(%d, %d);
0x002fef1f	camcontrol1		camcontrol1
0x002e88a0	numColours		numColours=%d
0x002e88e8	numDisplayLists		numDisplayLists=%d
0x002e88d8	numJoints		numJoints=%d
0x002e8890	numNormals		numNormals=%d
0x002e887c	numPositions		numPositions=%d
0x002e88b0	numTexCoords		numTexCoords=%d
0x002e88c4	numTextures		numTextures=%d
0x002e8918	numVertexAnims		numVertexAnims=%d
0x002e8868	renderStream		renderStream=%x
0x002e8900	renderStreamSize		renderStreamSize=%d
0x002e883c	vertexColours		vertexColours=%x
0x002e8828	vertexNormals		vertexNormals=%x
0x002e8984	vertexNormals		vertexNormals[%d]=(%d,%d,%d)
0x002e8810	vertexPositions		vertexPositions=%x
0x002e8948	vertexPositions		vertexPositions[%d]=(%d,%d,%d)
0x002e8850	vertexTexcoords		vertexTexcoords=%x
0x0030caea	L1CMiss	  L1CMiss %d,	CPU %f%
0x0031eb94	polys	 Add polys %i 
0x0031eb68	vertno	 Add vtx %i vertno %i  
0x00312b5c	Couldn	 Couldn't find romdef %i 
0x0031fb50	Creating	 Creating Diamond 
0x003213bc	Creating	 Creating Effect Emitter 
0x0030f858	Creating	 Creating Light 
0x00312508	Creating	 Creating Object 
0x0031ee80	Creating	 Creating Step Number %i 
0x00303fb8	Creatiung	 Creatiung Di Display List 
0x00320fd0	DOING	 DOING WARP YEAH HAA 
