function	retail_addr	size	changed_bytes	ident_pct	demo_addr
gameLoop	80020C2C	160	E4	35.2	80022600
gameUpdate	80020958	2D4	F4	66.3	80022384
mainGetBit	8001FFB4	134	58	71.4	80021AD4
mmAlloc	80023CC8	20C	1FC	3.1	(inside changed region; mm.c reworked)
mmInit	80023F9C	13C	54	73.4	80025988
Camera_update	801030C0	2EC	144	56.7	80100CB0
Camera_init	801033AC	F0	18	90.0	8010106C
objSetupObject	8002DF90	BC	48	61.7	8002FC10
Obj_UpdateObject	8002C784	368	AC	80.3	8002E510
trackGetHeight	80065E50	278	10C	57.6	8006607C
trackIntersect	80064C8C	8E8	5A4	36.7	80065074
objRender	8003B958	21C	1EC	8.9	8003E998
textureLoad	800544A4	78C	8C	92.8	80054B54
zlbDecompress	8004B658	930	4	99.8	8004CC3C
gameTextGet	80019570	294	AC	73.9	80018B60
player_update	800D980C	530	400	22.9	800D841C
padUpdate	80014F40	564	108	80.9	800148DC
sceneRender	8005C750	98	18	84.2	8005CF88
Music_PlayTrackByIndex	8000A2E4	94	88	8.1	80009D74
voxmaps_updateActiveMap	80012FB8	308	254	23.2	800128A4
