path	size	offset
AMAP.BIN	200864	0x360000
AMAP.BIN.changed	4	0x3910a0
AMAP.TAB	5024	0x3910a4
AMAP.TAB.changed	4	0x392444
AMBIENT.bin	1232416	0x392448
AMBIENT.bin.changed	4	0x4bf268
AMBIENT.tab	32	0x4bf26c
AMBIENT.tab.changed	4	0x4bf28c
ANIM.BIN	119520	0x4bf290
ANIM.BIN.changed	4	0x4dc570
ANIM.INDEX	70	0x4dc574
ANIM.TAB	10208	0x4dc5bc
ANIM.TAB.changed	4	0x4ded9c
ANIMCURV.bin	60000	0x4deda0
ANIMCURV.tab	22816	0x4ed800
ANIMCURVES.bin	1362848	0x4f3120
ANIMCURVES.bin.changed	4	0x63fcc0
ANIMCURVES.map	60	0x63fcc4
ANIMCURVES.tab	62144	0x63fd00
ANIMCURVES.tab.changed	4	0x64efc0
animtest.sqs	763	0x9e31a8
animtest/ANIM.BIN	1608736	0x64efc4
animtest/ANIM.TAB	10208	0x7d7be4
animtest/ANIMCURV.bin	17408	0x7da3c4
animtest/ANIMCURV.tab	22816	0x7de7c4
animtest/animtest.sqs	763	0x7e40e4
animtest/mod41.bin	604800	0x7e43e0
animtest/mod41.tab	3840	0x877e60
animtest/mod5.bin	50336	0x878d60
animtest/mod5.tab	96	0x885200
animtest/mod6.bin	59808	0x885260
animtest/mod6.blk	435	0x893c00
animtest/mod6.lzo.bin	36928	0x893db4
animtest/mod6.tab	832	0x89cdf4
animtest/mod6.tex	785	0x89d134
animtest/mod6.zlb.bin	28224	0x89d448
animtest/MODELIND.bin	3776	0x8a4288
animtest/MODELS.bin	331936	0x8a5148
animtest/MODELS.tab	5056	0x8f61e8
animtest/OBJSEQ.bin	27392	0x8f75a8
animtest/OBJSEQ.tab	2784	0x8fe0a8
animtest/OBJSEQ2C.tab	2784	0x8feb88
animtest/TEX0.bin	291584	0x8ff668
animtest/TEX0.tab	3648	0x946968
animtest/TEX1.bin	619744	0x9477a8
animtest/TEX1.tab	9664	0x9dec88
animtest/VOXMAP.bin	1408	0x9e1248
animtest/VOXMAP.tab	6624	0x9e17c8
arwing/ANIM.BIN	164992	0x9e34a4
arwing/ANIM.TAB	10208	0xa0b924
arwing/ANIMCURV.bin	48096	0xa0e104
arwing/ANIMCURV.tab	22752	0xa19ce4
arwing/mod3.bin	578816	0xa1f5c4
arwing/mod3.lzo.bin	375360	0xaacac4
arwing/mod3.tab	480	0xb08504
arwing/mod3.zlb.bin	311616	0xb086e4
arwing/mod4.bin	18848	0xb54824
arwing/mod4.tab	384	0xb591c4
arwing/MODELIND.bin	3776	0xb59344
arwing/MODELS.bin	486528	0xb5a204
arwing/MODELS.tab	5056	0xbd0e84
arwing/OBJSEQ.bin	27392	0xbd2244
arwing/OBJSEQ.tab	2784	0xbd8d44
arwing/OBJSEQ2C.tab	2784	0xbd9824
