path	US10_size
animtest.romlist.zlb	64
arwing.romlist.zlb	512
arwingcity.romlist.zlb	4864
arwingcloud.romlist.zlb	4512
arwingdarkice.romlist.zlb	7136
arwingdragon.romlist.zlb	6208
arwingtoplanet.romlist.zlb	8160
audio/starfox.h.bak	31359
bossdrakorflatr.romlist.zlb	64
capeclaw.romlist.zlb	24608
card/memcardicon0.img	1024
card/memcardicon0.pal	512
card/memcardicon1.img	1024
card/memcardicon2.img	1024
card/memcardicon3.img	1024
ccbridge.romlist.zlb	64
ccshrine.romlist.zlb	416
cfcolumn.romlist.zlb	64
cfdungeonblock.romlist.zlb	64
cfgalleon.romlist.zlb	96
cfgangplank.romlist.zlb	64
cfledge.romlist.zlb	55
cfliftplat.romlist.zlb	64
cfprisoncage.romlist.zlb	64
cfprisondoor.romlist.zlb	64
clouddungeon.romlist.zlb	4640
cloudjoin.romlist.zlb	192
cloudrace.romlist.zlb	4512
cloudrunnermap.romlist.zlb	64
cloudtrap.romlist.zlb	64
cloudtreasure.romlist.zlb	64
dbshrine.romlist.zlb	3008
dbstepstone.romlist.zlb	64
dfcavehatch1.romlist.zlb	64
dfcavehatch2.romlist.zlb	64
dfcradle.romlist.zlb	64
dfpodium.romlist.zlb	96
dfptop.romlist.zlb	8928
dfshrine.romlist.zlb	2304
diamondbay.romlist.zlb	64
dim2iceblock1.romlist.zlb	64
dim2iceblock2.romlist.zlb	64
dim2icefloe.romlist.zlb	64
dim2icefloe1.romlist.zlb	64
dim2icefloe2.romlist.zlb	64
dim2lift.romlist.zlb	64
dim2stonepillar.romlist.zlb	64
dimbossgut.romlist.zlb	64
dimcannon.romlist.zlb	55
dimcannonbase.romlist.zlb	55
dimhornplinth.romlist.zlb	96
dimpushblock.romlist.zlb	64
discovery.romlist.zlb	64
dragbot.romlist.zlb	3136
dragrock.romlist.zlb	18816
drhighplat.romlist.zlb	55
drliftplat.romlist.zlb	192
drpushcart.romlist.zlb	64
duster.romlist.zlb	64
earthwalker.romlist.zlb	64
ecshrine.romlist.zlb	2304
finalboss.romlist.zlb	17152
fortress.romlist.zlb	24192
frontend.romlist.zlb	736
frontend2.romlist.zlb	64
galleonship.romlist.zlb	960
gamefront.romlist.zlb	1056
gametext/CloudDungeon/English.bin	76152
gametext/CloudDungeon/French.bin	76152
gametext/CloudDungeon/German.bin	76152
gametext/CloudDungeon/Italian.bin	76152
gametext/CloudDungeon/Japanese.bin	76152
gametext/CloudDungeon/Spanish.bin	76152
gametext/GameMaze/English.bin	90184
gametext/GameMaze/French.bin	90184
gametext/GameMaze/German.bin	90184
gametext/GameMaze/Italian.bin	90184
