kidx  bank     ksize   kexp | DPid  dpsize  dpexp  dpname              | match  | evidence
0     all      34000   25   | 1     33584   24     engine/1_cmdmenu        | 7.0    | 
1     all      10304   27   | 2     10304   27     engine/2_camcontrol     | 8.0    | 
2     all      42784   33   | 3     42960   33     engine/3_ANIM           | 16.4   | game/anim.c
3     all      8576    15   | 4     8576    15     engine/4_race           | IDENT  | 
4     all      15424   36   | 5     15376   36     engine/5_AMSEQ          | 17.3   | 
5     all      11456   21   | 6     11456   21     engine/6_AMSFX          | 38.0   | game/amsfx.c
6     all      26272   24   | 7     26272   24     engine/7_newday         | 18.0   | 
7     all      9456    13   | 8     9456    13                             | 8.0    | 
8     all      20544   8    | 9     19984   8                              | 15.1   | 
9     all      5456    3    | 10    5392    3                              | 7.9    | 
10    all      9536    7    | 11    9456    7                              | 37.9   | newlfx.c
11    all      16624   10   | 12    16608   10                             | 9.8    | 
12    all      22448   11   | 13    22480   11     engine/13_expgfx        | 35.0   | expgfx.c
13    all      29360   22   | 14    29328   22     engine/14_modgfx        | 14.0   | 
14    all      21952   8    | 15    21872   8                              | 13.5   | 
15    all      5008    3    | 16    5008    3      engine/16               | IDENT  | 
16    all      50320   3    | 17    50320   3      engine/17_partfx        | 18.0   | 
17    all      9168    23   | 18    9168    23     engine/18_objfsa        | 8.0    | 
18    all      384     3    | 19    384     3      engine/19_menu_gameplay | 8.0    | 
19    all      1488    3    | 20    1488    3      engine/20_screens       | 8.0    | 
20    all      1600    6    | 21    1600    6      engine/21_gametext      | 8.0    | 
21    all      9392    10   | 22    9392    10     engine/22_subtitles     | 18.0   | 
22    all      256     8    | 23    256     8      engine/23               | IDENT  | 
23    all      8160    8    | 24    8128    8      engine/24_waterfx       | 8.0    | 
24    all      13264   15   | 25    13264   15     engine/25               | 8.0    | 
25    all      24368   42   | 26    24320   42     engine/26_curves        | 38.0   | curves.c
26    all      10576   9    | 27    10432   9      engine/27               | 12.9   | 
27    all      5968    6    | 28    5968    6      engine/28_screen_fade   | 8.0    | 
28    all      8960    49   | 29    8816    49     engine/29_gplay         | 37.9   | gameplay.c
29    all      1344    6    | 30    1344    6      engine/30_task          | IDENT  | 
30    all      3920    2    | 31    3920    2      engine/31_flash         | 18.0   | 
31    all      14720   6    | 32    14720   6      engine/32               | 18.0   | 
32    all      10672   24   | 33    10640   24     engine/33_BaddieControl | 8.0    | 
33    all      15312   3    | 34    15312   3                              | 8.0    | 
34    all      15648   3    | 35    15648   3                              | 18.0   | 
35    all      8800    3    | 36    8800    3                              | 8.0    | 
36    all      13808   3    | 37    13808   3                              | 8.0    | 
37    all      4864    3    | 38    4864    3                              | 8.0    | 
38    all      4864    3    | 39    4864    3                              | 8.0    | 
39    all      8864    3    | 40    8864    3                              | 8.0    | 
40    all      6528    3    | 41    6496    3                              | 8.0    | 
41    all      6320    3    | 42    6320    3                              | 8.0    | 
42    all      8368    3    | 43    8368    3                              | 8.0    | 
43    all      3968    3    | 44    3968    3                              | 8.0    | 
44    all      3968    3    | 45    3968    3                              | 8.0    | 
45    all      1664    3    | 46    1664    3                              | 8.0    | 
