mapdir	mod_ids
Copy of swaphol	[13]
animtest	[5, 6, 41]
arwing	[3, 4]
arwingcity	[60]
arwingcloud	[59]
arwingdarkice	[58]
arwingdragon	[61]
arwingtoplanet	[57]
bossdrakor	[52]
bossgaldon	[36]
bosstrex	[54]
capeclaw	[48]
clouddungeon	[25]
cloudrace	[51]
cloudtreasure	[23]
crfort	[12, 19]
darkicemines	[27]
darkicemines2	[35]
dbshrine	[44]
desert	[7, 29]
dfptop	[7, 28]
dfshrine	[40]
dragrock	[4, 10, 29]
dragrockbot	[11, 29]
ecshrine	[41, 42]
frontend	[30]
gamefront	[62]
gpshrine	[43]
greatfox	[64]
icemountain	[31]
insidegal	[38]
lightfoot	[22]
linka	[65]
linkb	[55]
linkc	[66]
linkd	[67]
linke	[68]
linkf	[69]
linkg	[70]
linkh	[71]
linki	[73]
linkj	[72]
linklevel	[63]
magiccave	[39]
mazecave	[10]
mmpass	[26]
mmshrine	[32, 41]
nwastes	[15]
nwshrine	[45]
shipbattle	[14, 30]
shop	[17]
swapcircle	[22]
swaphol	[13]
swapholbot	[20]
volcano	[8, 16]
wallcity	[21]
warlock	[16]
worldmap	[3, 46]
