demoslot retailslot delta  #names  example
  199   196   +3    1  Tricky
  201   198   +3  147  ARWAnimBigA
  201   199   +2    1  DIM2RoofRub
  201   237  -36    1  DIMShackleK
  202   199   +3    1  AnimGreatfo
  204   201   +3   24  BattleDroid
  207   204   +3    1  ChukChuk
  208   205   +3    3  ChukaChuck
  210   207   +3    1  CannonClaw
  211   208   +3    1  Grimble
  212   209   +3    1  TumbleWeedB
  213   210   +3    4  Tumbleweed1
  215   212   +3    1  SkeetlaWall
  216   213   +3    1  Kaldachom
  217   215   +2    1  KaldachomSp
  218   216   +2    1  PinPonSpike
  219   217   +2    1  Pollen
  220   218   +2    2  DRHomingMis
  221   219   +2    1  MikaBomb
  222   220   +2    1  MikaBombSha
  223   221   +2    1  GCbaddieShi
  224   222   +2    1  baddieInter
  225   223   +2    1  Hagabon
  226   224   +2    1  SwarmBaddie
  227   225   +2    1  WispBaddie
  228   226   +2    2  staff
  231   227   +4    1  projball
  232   228   +4    3  BossDarkorF
  236   229   +7    1  fox_shield
  237   230   +7    1  ReStartMark
  238   231   +7    2  BurnableVin
  239   232   +7    1  checkpoint4
  240   233   +7    1  setuppoint
  241   234   +7    1  sideload
  242   235   +7    2  siderepel
  243   236   +7    1  InfoPoint
  244   237   +7   27  Apple
  245   238   +7    1  EffectBox
  246   239   +7    9  CCboulder
  247   240   +7    5  MMP_WarpPoi
  248   241   +7    1  InvHit
  249   242   +7    1  iceblast
  250   243   +7    1  flameblast
  251   244   +7   10  DFP_PerchBa
  251   272  -21    2  DFP_RoundDo
  253   246   +7    1  Area
  255   248   +7    1  LevelName
  256   249   +7    1  DRProjectil
  257   250   +7    1  InvisibleHi
  258   251   +7    6  GroundQuake
  261   254   +7    1  MagicPlant
  263   256   +7    1  TrickyWarp
  265   258   +7    1  StayPoint
  266   259   +7    1  CurveFish
  267   260   +7    2  ReinforcedC
  268   261   +7    3  DrakorCrate
  269   262   +7    4  Blue_bean
  271   264   +7    1  EndObject
  273   266   +7    1  Fall_Ladder
  274   267   +7    1  FireFlyLant
  275   268   +7    1  LanternFire
  276   269   +7    1  PortalSpell
  277   271   +6    1  MMP_Bridge
  277   272   +5    1  DFP_Bridge
  278   272   +6   44  CCclawOnlyD
  279   273   +6   14  CFDoubleSwi
  279   445 -166    1  SPWell
  280   274   +6   32  ANDSeqObjec
  281   275   +6    9  CAMERAnewse
  282   276   +6    1  IMMultiSeq
  284   278   +6    3  GPSHpickobj
  285   279   +6    1  AppleOnTree
  286   280   +6    1  Duster
  287   281   +6    1  coldWaterCo
  288   282   +6   21  AlienTreePa
  289   283   +6    1  Landed_Arwi
  290   284   +6    6  LINKStaffLe
  291   285   +6    2  MapTreasure
  292   286   +6    1  MagicCaveBo
  293   287   +6    1  MagicCaveTo
  295   289   +6    2  NW_InfoText
  296   289   +7    1  SH_FireWeed
  296   290   +6    1  CCTestInfot
  297   291   +6    1  fuelCell
  298   292   +6    1  deathGas
  299   293   +6    1  curve
  302   296   +6    5  DIMHutDoor
  305   297   +8    1  CampFire
  306   298   +8   34  CFCrate
  306   302   +4    1  VFP_Warding
  307   299   +8    1  FXEmit
  309   300   +9    2  KP_Transpor
  313   301  +12    1  LFXEmitter
  314   302  +12   35  ARWArwingTa
  314   303  +11    2  BarrelPad
  314   500 -186    1  CF_Lamp
  315   304  +11    2  AreaFXEmit
  318   305  +13    1  CF_DoorLigh
  322   306  +16    1  WaterFallSp
  323   307  +16    1  sfxPlayer
  325   308  +17    1  texscroll2
  326   309  +17    1  texscroll
  327   310  +17    1  WaveAnimato
  328   311  +17    1  AlphaAnimat
  329   312  +17    1  GroundAnima
  331   313  +18    1  HitAnimator
  332   314  +18    1  VisAnimator
